"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest11","","","","test_case1[wangwu]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","","","","用户不存在用例","测试用例描述：此条用例期待结果：user_not_exists"
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","","","","test_link_testcase_issue_05",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_description_01","","","test_description_01","这是用例描述"
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest6","","","","test_09[B]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test11",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_10",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","8","testcase","test_pytest9","","","","test_attach",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_case1[lisi]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","","","","test_login_link[用户不存在-lisi-password-user_not_exists-https://www.qq.com/]",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","1","testcase","test_pytest5","","","","test_03",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_case05[wangwu-123bvc]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase.case01","test_pytest1","","","","test_a",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","2","testcase","test_pytest9","TestCart","","","test_add_cart02",""
"failed","Sun Jul 30 02:22:07 CST 2023","Sun Jul 30 02:22:08 CST 2023","1224","testcase","test_pytest10","","","","test_baidu_fail",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase.case01","test_pytest1","","","","test_b",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","3","testcase","test_pytest9","","","","test_attach_file",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest6","","","","test_05",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","2","testcase","test_pytest9","","","","test_add_cart03",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_severity_02","","","test_severity_04",""
"skipped","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest4","Test1","","","test_2",""
"skipped","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_mark[c-d]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_parametrize_case[dic1]",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest11","","","","TestExample",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_case4[lisi-abc123]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_demo",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest6","","","","test_09[A]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_epic_feature_story","","","用例标题2",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","TestParametrize","","","test_parametrize_1[别名2]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_case05[zhangsan-123456]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","29","testcase","test_pytest9","","","","test_attach_file_pdf",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest4","Test1","","","test_1",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","1","testcase","test_pytest3","Test01","","","test_class01",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_order_and_g",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","TestParametrize","","","test_parametrize_1[别名1]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","3","testcase","test_pytest8","","","","test_parametrize_case[dic0]",""
"skipped","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_mark[f-f]",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest10","Teststorm","","","test_a",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","","","","test_description_05","这是用例描述"
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","1","testcase","test_pytest5","Testcase","","","test_01",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest11","","","","test_case1[lisi]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_description_02","","","test_link_testcase_issue_04",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest9","","","","密码错误用例","测试用例描述：此条用例期待结果：failed_password"
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_case2[zhangsan-123456]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_case1[wangwu]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest6","","","","test_08[user0]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest6","","","","test_06",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest10","Teststorm","","","test_b",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","","","","test_login_link[登录成功用例-zhangsan-password-success-https://www.baidu.com]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","","","","test_severity_05",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test12",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_case3[lisi-123qwe]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest9","Test_epic_feature_story","","","用例标题1",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_link_testcase_issue_01","","","test_link_testcase_issue_02",""
"skipped","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest4","TestSkip","","","test_1",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","1","testcase","test_pytest11","","","","test_case1[zhangsan]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_link_testcase_issue_01","","","test_link_testcase_issue_01",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","","","","登录成功用例","测试用例描述：此条用例期待结果：success"
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_indir[lisi]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_epic_feature_story","","","用例标题3",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_case2[lishi-85135506]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_severity_01","","","test_severity_02",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_description_01","","","test_description_02","这是用例描述"
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","1","testcase","test_pytest2","","","","test_c",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_case3[zhangsan-567890]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_mark[b-b]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_severity_02","","","test_severity_03",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","10","testcase","test_pytest9","","","","test_attach_csv",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_mark[e-e]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","","","","test_login_link[密码错误用例-zhangsan-passwd-failed_password-https://www.bilibili.com/]",""
"skipped","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest4","","","","test_case02",""
